Year,Service,Multi.Service ,Other.Service,Investment.Type,Type.Book,Wheeled Vehicles,P1.Line.Item.Number,System.Title,Anomalous,MDAP,Unit.Cost.Millions,Current.Year Gross.Cost.Millions,FY2020.Procurement ,Inventory.Objective ,Peacetime.Production ,Efficiency.Production ,Surge.Rate.Years,Surge.Rate.Months,Surge.Rate.Leadtime.Years,Surge.Rate.Leadtime.1-8-5.Years,Adjusted.Surge.Rate.Years,Agg.MSR.Years,Agg.1-8-5.Years,Agg.Max.Years,Avg.Production.Leadtime. Years,Avg.Production.Leadtime. Months
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D04700,"TRAILER, GP,5 TON, M1061",0,Non-MDAP,0.010893246,5,459,3248,7.076252723,6.766666667,1.503703704,18.04444444,1.67,1.47,1.63,120,480,2160,0.166666667,2
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D06700,HIGH MOBILITY TRAILER,0,Non-MDAP,0.01127451,6.9,612,7944,12.98039216,1.351020408,1.103333333,13.24,1.35,0.9,1.15,960,5880,7200,0.25,3
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D00500,"DOLLY SET, TRANS SHELTER, 7 1/2T, M1022",0,Non-MDAP,NA,NA,NA,1500,NA,4.166666667,2.083333333,25,3,1.63,2.54,12,360,720,0.916666667,11
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D01500,SEMITRAILER FB BB/CONT TRANS 22 1/2 T,0,Non-MDAP,0.026804124,2.6,97,7467,76.97938144,11.31363636,7.778125,93.3375,8.36,7.38,7.96,180,660,960,0.583333333,7
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D00700,SEMITRAILER LB 40T M870A1 (CCE) ,0,Non-MDAP,0.126086957,2.9,23,2009,87.34782609,16.74166667,8.370833333,100.45,8.54,8.29,8.45,60,120,240,0.166666667,2
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D02306,SEMITRAILER TANK 5000G AUTOMOTIVE,0,Non-MDAP,0.121875,3.9,32,2436,76.125,2.5375,1.26875,15.225,2.02,0.89,1.64,24,960,1920,0.75,9
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D02700,"SEMITRAILER, TANK, 7500G, BULKHAUL",0,Non-MDAP,0.048837209,4.2,86,2743,31.89534884,4.571666667,2.285833333,27.43,3.04,1.91,2.66,60,600,1200,0.75,9
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D04800,SEMITRAILER VAN CGO SUPPLY 12T 4WHL M129,0,Non-MDAP,0.090140845,6.4,71,1717,24.18309859,14.30833333,5.723333333,68.68,5.97,5.62,5.87,12,120,300,0.25,3
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D15400,HI MOB MULTI-PURP WHLD VEH (HMMWV) ,0,Non-MDAP,0.11,12.1,110,95091,864.4636364,5.660178571,2.830089286,33.96107143,3.16,2.66,3,360,16800,33600,0.333333333,4
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D15500,FAMILY OF MEDIUM TACTICAL VEHICLES (FMTV) ,0,MDAP,0.162904809,332,2038,85400,41.90382728,20.33333333,10.16666667,122,10.92,9.79,10.54,1800,4200,8400,0.75,9
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D16500,PALLETIZED LOAD SYSTEM (PLS),0,Non-MDAP,0.418705036,58.2,139,3834,27.58273381,7.9875,3.195,38.34,3.7,3,3.5,120,480,1200,0.5,6
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D08900,"TRAILER, PLS, 8 X 20",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,960,2400,0.416666667,5
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D16100,"Cargo Bed, Demountable, 6x20",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4140,32160,46320,0.55,6.6
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D16101,PLS Container Handling Unit (CHU),0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,1440,3120,0.666666667,8
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D16103,Palletized Load System - Enhanced,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,4800,8400,0.333333333,4
1999,Army,0,NA,GS,Other,Wheeled Vehicles,DV0012,HEAVY EQUIPMENT TRANSPORTER SYS,0,Non-MDAP,0.486813187,88.6,182,1217,6.686813187,2.535416667,1.126851852,13.52222222,1.75,0.85,1.47,192,480,1080,0.625,7.5
1999,Army,0,NA,GS,Other,Wheeled Vehicles,ABT,"Truck, 10T, 8x8",0,Non-MDAP,0.321804511,42.8,133,13321,100.1578947,26.43055556,11.10083333,133.21,11.52,10.93,11.34,120,504,1200,0.416666667,5
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D02800,ARMORED SECURITY VEHICLES (ASV),0,Non-MDAP,NA,NA,NA,155,NA,0.861111111,0.287037037,3.444444444,0.95,0.06,0.73,12,180,540,0.666666667,8
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D15900,"TRUCK, TRACTOR, LINE HAUL, M915A3",0,Non-MDAP,0.135227273,59.5,440,7555,17.17045455,31.47916667,7.869791667,94.4375,8.45,7.72,8.31,240,240,960,0.583333333,7
1999,Army,0,NA,GS,Other,Wheeled Vehicles,D16000,"TRUCK, TRACTOR, YARD TYPE, M878 (C/S)",0,Non-MDAP,0.085964912,4.9,57,433,7.596491228,0.196105072,0.150347222,1.804166667,0.48,-0.11,0.23,720,2208,2880,0.333333333,4
1999,Army,0,NA,GS,Other,Wheeled Vehicles,DV0009,2 1/2T TRUCK EXTENDED SVC PGM (ESP) ,0,Non-MDAP,0.104761905,26.4,252,2727,10.82142857,1.13625,0.7575,9.09,1.17,0.48,0.9,300,2400,3600,0.416666667,5
1999,Army,0,NA,GS,Other,Wheeled Vehicles,DV0010,5-TON TRUCK EXTENDED SVC PGM(ESP),0,Non-MDAP,0.147945205,10.8,73,1337,18.31506849,0.557083333,0.371388889,4.456666667,0.79,0.09,0.51,300,2400,3600,0.416666667,5
1999,Army,0,NA,GS,Other,Wheeled Vehicles,DV0011,LINE HAUL ESP,0,Non-MDAP,0.079032258,4.9,62,1422,22.93548387,2.9625,0.658333333,7.9,1.49,0.47,1.31,240,480,2160,0.833333333,10
1999,Army,0,NA,GS,Other,Wheeled Vehicles,DV0230,HMMWV ESP,0,Non-MDAP,0.064082687,24.8,387,12582,32.51162791,5.2425,3.495,41.94,4.08,3.11,3.69,300,2400,3600,0.583333333,7
1999,Army,0,NA,CRI,Other,Other Programs,WK5053,SENTINEL (FAAD GBS) ,0,Non-MDAP,2.530434783,58.2,23,144,6.260869565,4,3,36,4.25,2.06,3.31,12,36,48,1.25,15
1999,Army,0,NA,CRI,Other,Other Programs,BA1201,TSEC - ARMY KEY MGT SYS (AKMS),0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,5904,12000,1.083333333,13
1999,Army,0,NA,CRI,Other,Other Programs,TA0600,INFORMATION SYSTEM SECURITY PROGRAM - IS ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1188,48120,137400,0.472222222,5.666666667
1999,Army,0,NA,CRI,Other,Other Programs,K38400,TARGET LOCATION OBSERVATION SYSTEM (TLOS),0,Non-MDAP,0.049579832,11.8,238,2565,10.77731092,2.671875,1.78125,21.375,3.32,0.75,2.3,480,960,1440,1.541666667,18.5
1999,Army,0,NA,CRI,Other,Other Programs,B53800),"NIGHT VISION, AN/PVS-6 MELIOS",0,Non-MDAP,NA,NA,NA,8469,NA,2.566363636,1.4115,16.938,2.41,0.86,1.86,1500,3300,6000,1,12
1999,Army,0,NA,CRI,Other,Other Programs,K36400,"NIGHT VISION, AN/PVS-7 AID",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18900,58200,121800,1.361111111,16.33333333
1999,Army,0,NA,CRI,Other,Other Programs,K41500,SNIPER NIGHT SIGHT,0,Non-MDAP,NA,NA,NA,2117,NA,1.411333333,1.176111111,14.11333333,2.09,0.41,1.33,300,1500,1800,0.916666667,11
